TIME,OPEN,HIGH ,LOW ,CLOSE
2019.09.18 16:01,1.10567,1.10576,1.10567,1.10572
2019.09.18 16:02,1.10572,1.10578,1.10565,1.10565
2019.09.18 16:03,1.10565,1.10581,1.10556,1.10577
2019.09.18 16:04,1.10577,1.1058,1.10569,1.10574
2019.09.18 16:05,1.10574,1.10592,1.10574,1.10582
2019.09.18 16:06,1.10582,1.1059,1.10579,1.10588
2019.09.18 16:07,1.10588,1.10598,1.10587,1.10594
2019.09.18 16:08,1.10594,1.10603,1.10594,1.10594
2019.09.18 16:09,1.10594,1.10606,1.10587,1.10587
2019.09.18 16:10,1.10587,1.10591,1.1058,1.10588
2019.09.18 16:11,1.10588,1.10596,1.10584,1.10589
2019.09.18 16:12,1.10589,1.10589,1.10584,1.10584
2019.09.18 16:13,1.10584,1.10609,1.10584,1.10609
2019.09.18 16:14,1.10607,1.10611,1.10601,1.10602
2019.09.18 16:15,1.10602,1.10607,1.1058,1.10582
2019.09.18 16:16,1.10582,1.10584,1.10577,1.10577
2019.09.18 16:17,1.10577,1.10582,1.10576,1.10577
2019.09.18 16:18,1.10577,1.10581,1.10564,1.10565
2019.09.18 16:19,1.10565,1.10571,1.10564,1.10571
2019.09.18 16:20,1.10571,1.10577,1.10569,1.10573
2019.09.18 16:21,1.10573,1.10576,1.10559,1.10559
2019.09.18 16:22,1.10559,1.10572,1.10559,1.1057
2019.09.18 16:23,1.1057,1.10597,1.1057,1.10597
2019.09.18 16:24,1.10597,1.10597,1.10585,1.10588
2019.09.18 16:25,1.10588,1.10588,1.1057,1.10571
2019.09.18 16:26,1.10571,1.10574,1.10558,1.10566
2019.09.18 16:27,1.10566,1.10566,1.10559,1.10561
2019.09.18 16:28,1.10562,1.10568,1.1056,1.10568
2019.09.18 16:29,1.10568,1.10572,1.10548,1.10549
2019.09.18 16:30,1.10549,1.10553,1.10534,1.10542
2019.09.18 16:31,1.10542,1.10546,1.10539,1.1054
2019.09.18 16:32,1.1054,1.1055,1.10537,1.10547
2019.09.18 16:33,1.10547,1.10551,1.10535,1.10539
2019.09.18 16:34,1.10539,1.10545,1.10533,1.10533
2019.09.18 16:35,1.10534,1.10537,1.10528,1.10529
2019.09.18 16:36,1.10529,1.10529,1.10519,1.10519
2019.09.18 16:37,1.10519,1.10519,1.10511,1.10515
2019.09.18 16:38,1.10514,1.1053,1.10514,1.10523
2019.09.18 16:39,1.10523,1.10528,1.10519,1.10521
2019.09.18 16:40,1.10521,1.10533,1.10515,1.10518
2019.09.18 16:41,1.10518,1.10524,1.10514,1.10519
2019.09.18 16:42,1.10519,1.10534,1.10519,1.10534
2019.09.18 16:43,1.10534,1.10534,1.10521,1.10524
2019.09.18 16:44,1.10524,1.1053,1.1052,1.10527
2019.09.18 16:45,1.10527,1.10537,1.10524,1.10529
2019.09.18 16:46,1.10529,1.10539,1.10526,1.10527
2019.09.18 16:47,1.10527,1.10529,1.10519,1.10522
2019.09.18 16:48,1.10522,1.10524,1.10513,1.10519
2019.09.18 16:49,1.10519,1.1052,1.10513,1.10518
2019.09.18 16:50,1.10518,1.10529,1.10517,1.10522
2019.09.18 16:51,1.10522,1.10526,1.1052,1.10523
2019.09.18 16:52,1.10523,1.10524,1.10523,1.10524
2019.09.18 16:53,1.10524,1.10535,1.10524,1.10535
2019.09.18 16:54,1.10535,1.10538,1.10524,1.10524
2019.09.18 16:55,1.10525,1.10542,1.10525,1.10535
2019.09.18 16:56,1.10536,1.10536,1.10529,1.10532
2019.09.18 16:57,1.10532,1.1055,1.1053,1.1055
2019.09.18 16:58,1.1055,1.10558,1.10546,1.10547
2019.09.18 16:59,1.10547,1.10559,1.10547,1.10552
2019.09.18 17:00,1.10551,1.10556,1.10539,1.10553
2019.09.18 17:01,1.10553,1.10558,1.10551,1.10558
2019.09.18 17:02,1.10558,1.10563,1.10552,1.10555
2019.09.18 17:03,1.10555,1.10558,1.10555,1.10558
2019.09.18 17:04,1.10558,1.10567,1.1055,1.10567
2019.09.18 17:05,1.10566,1.10569,1.10562,1.10568
2019.09.18 17:06,1.10568,1.10574,1.10567,1.10572
2019.09.18 17:07,1.10572,1.10579,1.1057,1.10574
2019.09.18 17:08,1.10574,1.10578,1.10573,1.10574
2019.09.18 17:09,1.10574,1.1058,1.10574,1.1058
2019.09.18 17:10,1.10579,1.10579,1.10567,1.10569
2019.09.18 17:11,1.10569,1.10569,1.1056,1.10565
2019.09.18 17:12,1.10565,1.10578,1.10564,1.10568
2019.09.18 17:13,1.10568,1.10576,1.10567,1.10569
2019.09.18 17:14,1.10569,1.10578,1.10569,1.10578
2019.09.18 17:15,1.10579,1.10585,1.10576,1.10576
2019.09.18 17:16,1.10576,1.10594,1.10574,1.10574
2019.09.18 17:17,1.10575,1.10587,1.10575,1.10581
2019.09.18 17:18,1.1058,1.10585,1.10579,1.10582
2019.09.18 17:19,1.10582,1.1059,1.10581,1.10585
2019.09.18 17:20,1.10585,1.10586,1.10571,1.10572
2019.09.18 17:21,1.10572,1.10572,1.10556,1.10556
2019.09.18 17:22,1.10558,1.10559,1.10547,1.10557
2019.09.18 17:23,1.10557,1.10591,1.10557,1.10587
2019.09.18 17:24,1.10587,1.10598,1.10584,1.10598
2019.09.18 17:25,1.10594,1.10598,1.1058,1.1058
2019.09.18 17:26,1.1058,1.10582,1.10575,1.10576
2019.09.18 17:27,1.10576,1.10582,1.10573,1.10574
2019.09.18 17:28,1.10572,1.10599,1.10572,1.10592
2019.09.18 17:29,1.10592,1.10605,1.10585,1.10595
2019.09.18 17:30,1.10594,1.10601,1.10584,1.10589
2019.09.18 17:31,1.10589,1.10597,1.10581,1.10597
2019.09.18 17:32,1.10597,1.10599,1.10579,1.10583
2019.09.18 17:33,1.10583,1.10605,1.10583,1.10603
2019.09.18 17:34,1.10604,1.10606,1.10589,1.10603
2019.09.18 17:35,1.10603,1.10603,1.10589,1.10593
2019.09.18 17:36,1.10593,1.10598,1.10585,1.1059
2019.09.18 17:37,1.1059,1.10592,1.10573,1.10577
2019.09.18 17:38,1.10577,1.10583,1.10565,1.1057
2019.09.18 17:39,1.1057,1.10578,1.10565,1.10569
2019.09.18 17:40,1.1057,1.10582,1.10569,1.10582
2019.09.18 17:41,1.10582,1.10587,1.10577,1.1058
2019.09.18 17:42,1.1058,1.10595,1.10574,1.10595
2019.09.18 17:43,1.10595,1.10599,1.10579,1.10579
2019.09.18 17:44,1.10579,1.10585,1.10578,1.10583
2019.09.18 17:45,1.10585,1.10597,1.10582,1.10589
2019.09.18 17:46,1.10589,1.10597,1.10581,1.10581
2019.09.18 17:47,1.10581,1.10588,1.10572,1.10581
2019.09.18 17:48,1.10581,1.10592,1.10576,1.10592
2019.09.18 17:49,1.10592,1.10601,1.10589,1.10597
2019.09.18 17:50,1.10597,1.10597,1.10584,1.10597
2019.09.18 17:51,1.10597,1.10598,1.10592,1.10596
2019.09.18 17:52,1.10596,1.10605,1.10566,1.10594
2019.09.18 17:53,1.10594,1.10628,1.10594,1.10625
2019.09.18 17:54,1.10625,1.10658,1.10624,1.10651
2019.09.18 17:55,1.10651,1.10653,1.1061,1.10619
2019.09.18 17:56,1.10619,1.10623,1.10615,1.10617
2019.09.18 17:57,1.10617,1.10625,1.10603,1.10605
2019.09.18 17:58,1.10605,1.10608,1.1057,1.10576
2019.09.18 17:59,1.10579,1.10606,1.1057,1.10605
2019.09.18 18:00,1.10606,1.10607,1.10588,1.10604
2019.09.18 18:01,1.10604,1.10609,1.10586,1.10587
2019.09.18 18:02,1.10587,1.1059,1.10585,1.10587
2019.09.18 18:03,1.10587,1.10587,1.10571,1.10577
2019.09.18 18:04,1.10576,1.10583,1.1056,1.10574
2019.09.18 18:05,1.10573,1.10587,1.10572,1.10578
2019.09.18 18:06,1.10578,1.10578,1.10565,1.10567
2019.09.18 18:07,1.10567,1.10568,1.1056,1.10567
2019.09.18 18:08,1.10568,1.10568,1.10559,1.10561
2019.09.18 18:09,1.10561,1.10566,1.10556,1.10566
2019.09.18 18:10,1.10566,1.10566,1.10548,1.10556
2019.09.18 18:11,1.10556,1.1056,1.10549,1.10556
2019.09.18 18:12,1.10558,1.10576,1.10558,1.10574
2019.09.18 18:13,1.10574,1.10588,1.10572,1.10587
2019.09.18 18:14,1.10586,1.10593,1.10585,1.10588
2019.09.18 18:15,1.10592,1.10597,1.1059,1.10592
2019.09.18 18:16,1.10592,1.10592,1.10583,1.10586
2019.09.18 18:17,1.10586,1.10591,1.10581,1.10591
2019.09.18 18:18,1.10591,1.10604,1.1059,1.10604
2019.09.18 18:19,1.10604,1.10613,1.10603,1.10607
2019.09.18 18:20,1.10607,1.10615,1.10607,1.10615
2019.09.18 18:21,1.10615,1.10619,1.10613,1.10618
2019.09.18 18:22,1.10617,1.10621,1.10613,1.10615
2019.09.18 18:23,1.10615,1.10623,1.10614,1.10623
2019.09.18 18:24,1.10622,1.10624,1.10614,1.10614
2019.09.18 18:25,1.10614,1.10624,1.10614,1.10623
2019.09.18 18:26,1.10623,1.10627,1.10618,1.10624
2019.09.18 18:27,1.10624,1.10624,1.10614,1.10617
2019.09.18 18:28,1.10617,1.10628,1.10615,1.10626
2019.09.18 18:29,1.10626,1.10628,1.10623,1.10623
2019.09.18 18:30,1.10624,1.10635,1.10624,1.10634
2019.09.18 18:31,1.10634,1.10636,1.10632,1.10634
2019.09.18 18:32,1.10634,1.10638,1.10634,1.10634
2019.09.18 18:33,1.10634,1.10635,1.10621,1.10623
2019.09.18 18:34,1.10623,1.10648,1.10622,1.10647
2019.09.18 18:35,1.10647,1.10649,1.10637,1.10644
2019.09.18 18:36,1.10644,1.1065,1.10642,1.10644
2019.09.18 18:37,1.10644,1.10647,1.10636,1.10637
2019.09.18 18:38,1.10637,1.10643,1.10627,1.10628
2019.09.18 18:39,1.10628,1.10631,1.10617,1.10629
2019.09.18 18:40,1.10629,1.10637,1.10628,1.10634
2019.09.18 18:41,1.10634,1.1065,1.10627,1.10647
2019.09.18 18:42,1.10647,1.10651,1.10645,1.10646
2019.09.18 18:43,1.10646,1.10648,1.10626,1.10627
2019.09.18 18:44,1.10627,1.10644,1.10627,1.10639
2019.09.18 18:45,1.10637,1.10639,1.10633,1.10636
2019.09.18 18:46,1.10636,1.10638,1.10632,1.10634
2019.09.18 18:47,1.10634,1.10635,1.10632,1.10634
2019.09.18 18:48,1.10635,1.10635,1.10614,1.10616
2019.09.18 18:49,1.10615,1.10622,1.10614,1.1062
2019.09.18 18:50,1.1062,1.1063,1.10617,1.10628
2019.09.18 18:51,1.10628,1.1063,1.10624,1.10625
